                              conv_id                                             prompt                                         ratings                                sender                 start                                               text             timestamp
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z                Hello / How are you doing today? /   2018-05-02T19:38:20Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  whats up MD / im doing good / how are you doin...  2018-05-02T19:38:35Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Im alright, I just took a nap. But it was one ...  2018-05-02T19:39:21Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z      oh wow haha / so you still feel tired huh? /   2018-05-02T19:40:07Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z                                            Yeah /   2018-05-02T19:40:29Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z                         did you go to bed late? /   2018-05-02T19:40:39Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z   I have more of a head ache than anything else /   2018-05-02T19:40:40Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z                             dude thats terrible /   2018-05-02T19:40:53Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  No, Its just adjusting to a time change / But ...  2018-05-02T19:41:04Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  im refining my skills on Sketch App / have you...  2018-05-02T19:41:45Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z                          I havent / What is it? /   2018-05-02T19:42:10Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z       you know what adobe illustrator is right? /   2018-05-02T19:43:03Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z                                             Yes /   2018-05-02T19:43:09Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  its a vector graphic editor like illustrator b...  2018-05-02T19:43:42Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Oh nice! / What have you been practicing desig...  2018-05-02T19:45:41Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  Ive been trying to learn more tools on sketch ...  2018-05-02T19:47:44Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z      Wow that is cool! When is that all due by? /   2018-05-02T19:48:28Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z                               this weekend haha /   2018-05-02T19:48:44Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Do you think you will finish or is that a push...  2018-05-02T19:50:18Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  its a deadline I set haha / but I think Ill be...  2018-05-02T19:51:40Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Well I wish you the best of luck with that dea...  2018-05-02T19:52:05Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  thanks / do you have any personal projects you...  2018-05-02T19:53:05Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Not really projects. I finished editing a bunc...  2018-05-02T19:57:20Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z       oh coooool! / was this a paid photoshoot? /   2018-05-02T19:58:38Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Yep, I had a few that I did before I went home...  2018-05-02T19:59:55Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  549cc1d1-270e-4a53-b561-133a8d0086b4  2018-05-03T01:38:01Z  engagement shoots or weddings are goooood mone...  2018-05-02T20:01:01Z
 a07edb12-6b91-4138-b11e-02421888d699  What's one thing your best friend doesn't know...  {'witty': 10, 'upbeat': 10, 'interesting': 10}  720840be-e522-47ba-9e9f-143f66372673  2018-05-03T01:38:01Z  Yeah there are so many, every other person tak...  2018-05-02T20:04:10Z
